Id,OverallQual,Neighborhood,GrLivArea,YearBuilt,GarageArea,TotalBsmtSF,FullBath,YearRemodAdd,2ndFlrSF,Foundation,Exterior2nd,Fireplaces,LotArea,Exterior1st,OpenPorchSF,SalePrice
33,8,CollgCr,1234,2007,484,1234,2,2007,0,PConc,VinylSd,0,11049,VinylSd,30,179900
34,5,NAmes,1700,1959,447,1398,1,1959,0,CBlock,BrkFace,1,10552,BrkFace,38,165500
36,8,NridgHt,2452,2004,691,1117,3,2005,1320,PConc,VinylSd,1,13418,VinylSd,32,309000
37,5,CollgCr,1097,1994,672,1097,1,1995,0,PConc,VinylSd,0,10859,VinylSd,64,145000
38,5,NAmes,1297,1954,498,1297,1,1990,0,CBlock,Wd Sdng,1,8532,Wd Sdng,0,153000
39,5,NAmes,1057,1953,246,1057,1,2007,0,CBlock,VinylSd,0,7922,VinylSd,52,109000
41,6,NAmes,1324,1965,440,1088,2,1965,0,CBlock,Wd Sdng,1,8658,Wd Sdng,138,160000
42,5,Timber,1328,1959,308,1350,1,1959,0,CBlock,VinylSd,2,16905,VinylSd,104,170000
43,5,SawyerW,884,1983,504,840,1,1983,0,CBlock,HdBoard,0,9180,HdBoard,0,144000
44,5,CollgCr,938,1975,308,938,1,1980,0,CBlock,VinylSd,0,9200,VinylSd,0,130250
45,5,NAmes,1150,1959,300,1150,1,1959,0,CBlock,Wd Sdng,0,7945,BrkFace,0,141000
49,4,OldTown,1452,1920,0,736,2,2008,716,BrkTil,MetalSd,0,4456,MetalSd,0,113000
50,5,Sawyer,955,1966,386,955,1,1966,0,CBlock,HdBoard,0,7742,HdBoard,0,127000
51,6,Gilbert,1470,1997,388,794,2,1997,676,PConc,VinylSd,0,13869,VinylSd,75,177000
52,6,BrkSide,1176,1934,528,816,1,1950,0,PConc,Wd Sdng,1,6240,Wd Sdng,0,114500
55,5,NAmes,1360,1955,572,384,1,1955,0,CBlock,MetalSd,1,7134,MetalSd,50,130000
56,6,NAmes,1425,1964,576,1425,2,1964,0,CBlock,Plywood,1,10175,HdBoard,0,180500
57,8,Somerst,1739,1999,480,970,2,2000,756,PConc,MetalSd,0,2645,MetalSd,0,172500
58,7,CollgCr,1720,2004,565,860,2,2004,860,PConc,VinylSd,0,11645,VinylSd,70,196500
60,5,CollgCr,780,1972,352,780,1,1972,0,CBlock,HdBoard,0,7200,HdBoard,0,124900
61,6,SawyerW,1158,2004,576,1158,1,2004,0,PConc,VinylSd,0,13072,VinylSd,50,158000
62,5,IDOTRR,1111,1920,288,530,1,1996,530,BrkTil,MetalSd,0,7200,MetalSd,0,101000
63,8,NridgHt,1370,2006,484,1370,2,2006,0,PConc,VinylSd,1,6442,VinylSd,49,202500
64,7,OldTown,1710,1921,480,576,2,1950,808,BrkTil,Stucco,0,10300,Stucco,11,140000
65,7,CollgCr,2034,1997,645,1057,2,1998,977,PConc,VinylSd,0,9375,VinylSd,36,219500
66,8,NridgHt,2473,2004,852,1143,2,2005,1330,PConc,VinylSd,1,9591,VinylSd,151,317000
67,7,NAmes,2207,1970,576,1947,2,1989,0,CBlock,Plywood,1,19900,Plywood,0,180000
68,7,CollgCr,1479,2003,558,1453,2,2003,0,PConc,VinylSd,0,10665,VinylSd,29,226000
69,4,OldTown,747,1945,220,747,1,1950,0,CBlock,MetalSd,0,4608,MetalSd,0,80000
72,4,Mitchel,845,1982,360,845,1,2006,0,CBlock,Plywood,0,7599,HdBoard,0,129500
73,7,Gilbert,1718,1998,427,832,2,1998,833,PConc,VinylSd,1,10141,VinylSd,94,185000
74,5,NAmes,1086,1954,490,1086,1,2003,0,CBlock,Wd Sdng,0,10200,Wd Sdng,0,144900
75,3,OldTown,1605,1915,379,840,2,1950,765,CBlock,VinylSd,0,5790,VinylSd,0,107400
76,4,MeadowV,988,1973,297,462,1,1973,462,CBlock,CmentBd,0,1596,CemntBd,101,91000
77,4,NAmes,952,1956,283,952,1,1956,0,CBlock,VinylSd,0,8475,VinylSd,0,135750
78,5,BrkSide,1285,1948,240,672,1,2001,213,CBlock,Wd Sdng,0,8635,Wd Sdng,0,127000
79,4,Sawyer,1768,1968,0,1768,2,1968,0,CBlock,HdBoard,0,10778,HdBoard,0,136500
81,6,NAmes,2142,1968,509,896,2,1968,960,CBlock,VinylSd,1,13000,VinylSd,72,193500
82,6,Mitchel,1337,1998,405,1237,2,1998,0,PConc,VinylSd,0,4500,VinylSd,199,153500
83,8,Somerst,1563,2007,758,1563,2,2007,0,PConc,VinylSd,1,10206,VinylSd,99,245000
84,5,NAmes,1065,1960,461,1065,1,1960,0,CBlock,MetalSd,0,8892,MetalSd,0,126500
85,7,Gilbert,1474,1995,400,384,2,1996,670,PConc,HdBoard,1,8530,HdBoard,72,168500
87,6,Gilbert,1560,2005,400,684,2,2005,876,PConc,VinylSd,1,11911,VinylSd,38,174000
88,6,Somerst,1224,2009,528,612,2,2009,612,PConc,VinylSd,0,3951,VinylSd,234,164500
89,3,IDOTRR,1526,1915,0,1013,1,1982,0,CBlock,Plywood,0,8470,Plywood,0,85000
90,4,CollgCr,990,1994,0,990,1,1995,0,PConc,VinylSd,0,8070,VinylSd,0,123600
93,5,Crawfor,964,1921,432,876,1,2006,0,BrkTil,Wd Sdng,0,13360,Wd Sdng,0,163500
94,6,OldTown,2291,1910,506,1214,2,1998,1031,BrkTil,MetalSd,1,7200,MetalSd,0,133900
95,6,CollgCr,1786,1997,684,824,2,1997,881,PConc,VinylSd,0,9337,VinylSd,162,204750
96,6,Gilbert,1470,1993,420,680,2,1993,790,PConc,VinylSd,1,9765,VinylSd,63,185000
97,7,CollgCr,1588,1999,472,1588,2,1999,0,PConc,VinylSd,0,10264,VinylSd,29,214000
99,5,Edwards,835,1920,366,458,1,1950,0,BrkTil,Wd Sdng,0,10625,Wd Sdng,0,83000
100,4,NAmes,1225,1959,0,950,1,1959,0,CBlock,Plywood,0,9320,Plywood,0,128950
101,6,NWAmes,1610,1977,480,1610,2,2001,0,PConc,Plywood,2,10603,Plywood,68,205000
102,6,SawyerW,1732,1985,476,741,2,1985,755,CBlock,HdBoard,1,9206,HdBoard,46,178000
104,7,CollgCr,1226,2009,740,1226,2,2009,0,PConc,VinylSd,0,10402,VinylSd,36,198900
105,7,IDOTRR,1818,1931,240,1040,1,1950,592,PConc,Stucco,2,7758,Stucco,0,169500
106,8,Somerst,1992,2003,648,1053,2,2004,939,PConc,VinylSd,1,9375,VinylSd,45,250000
107,4,OldTown,1047,1885,273,641,1,1995,0,BrkTil,VinylSd,0,10800,VinylSd,0,100000
108,5,OldTown,789,1948,250,789,1,1950,0,CBlock,VinylSd,0,6000,VinylSd,0,115000
109,5,IDOTRR,1517,1919,0,793,2,2005,520,CBlock,CmentBd,0,8500,CemntBd,0,115000
110,6,NWAmes,1844,1977,546,1844,2,1977,0,CBlock,Plywood,1,11751,Plywood,122,190000
111,6,Edwards,1855,1954,325,994,2,1972,639,CBlock,Wd Sdng,0,9525,Wd Sdng,0,136900
112,7,Gilbert,1430,2000,400,384,2,2000,656,PConc,VinylSd,1,7750,VinylSd,0,180000
114,6,Crawfor,2259,1953,450,1809,2,1953,0,CBlock,Wd Sdng,2,21000,Wd Sdng,120,217000
116,6,Somerst,1458,1999,440,729,2,1999,729,PConc,MetalSd,1,3230,MetalSd,32,176000
117,5,Sawyer,1092,1962,288,1092,1,1962,0,CBlock,Wd Sdng,1,11616,Wd Sdng,20,139000
118,5,Edwards,1125,2006,430,1125,1,2007,0,PConc,VinylSd,0,8536,VinylSd,64,155000
120,6,CollgCr,1456,2005,390,728,2,2006,728,PConc,VinylSd,1,8461,VinylSd,24,163990
121,6,ClearCr,988,1969,540,938,1,1969,0,CBlock,Plywood,2,21453,Plywood,130,180000
122,4,IDOTRR,1123,1939,264,732,1,1950,351,PConc,AsbShng,0,6060,AsbShng,0,100000
123,6,NAmes,1080,1958,288,1080,1,1958,0,CBlock,MetalSd,0,9464,MetalSd,0,136000
124,6,SawyerW,1199,1993,530,1199,2,1993,0,PConc,Plywood,0,7892,Plywood,63,153900
125,6,NWAmes,1586,1979,435,1362,2,1998,0,CBlock,HdBoard,1,17043,HdBoard,0,181000
126,6,IDOTRR,754,1935,0,520,1,1982,0,CBlock,Wd Sdng,0,6780,Wd Sdng,0,84500
127,6,NPkVill,958,1976,440,1078,2,1976,0,CBlock,Plywood,1,4928,Plywood,205,128000
128,5,OldTown,840,1930,0,672,1,1950,0,BrkTil,Wd Sdng,1,4388,WdShing,0,87000
129,6,NAmes,1348,1966,453,660,1,1966,688,CBlock,VinylSd,1,7590,VinylSd,108,155000
130,5,NAmes,1053,1958,750,1008,1,1991,0,CBlock,Plywood,0,8973,Plywood,80,150000
133,5,NAmes,1327,1959,624,1063,1,2002,0,CBlock,MetalSd,0,7388,MetalSd,0,150750
134,8,Timber,1296,2001,471,1267,2,2002,0,PConc,VinylSd,0,6853,VinylSd,25,220000
135,5,Sawyer,1721,1968,440,1461,2,1993,0,CBlock,Plywood,1,10335,Plywood,96,180000
136,7,NWAmes,1682,1970,530,1304,2,1970,0,PConc,Plywood,1,10400,Plywood,0,174000
137,5,NAmes,1214,1967,318,1214,2,1967,0,CBlock,MetalSd,1,10355,MetalSd,111,143000
138,7,Mitchel,1959,1988,766,1907,3,1989,0,CBlock,VinylSd,0,11070,VinylSd,0,171000
139,8,CollgCr,1852,1999,660,1004,2,2000,848,PConc,VinylSd,2,9066,VinylSd,106,230000
140,6,CollgCr,1764,1997,470,928,2,1997,836,PConc,VinylSd,0,15426,VinylSd,99,231500
141,4,NAmes,864,1971,0,864,1,1971,0,CBlock,HdBoard,1,10500,HdBoard,0,115000
143,5,NAmes,1385,1952,720,910,2,1952,475,CBlock,Wd Sdng,0,8520,BrkFace,0,166000
144,7,CollgCr,1501,1999,577,1490,2,1999,0,PConc,VinylSd,0,10335,VinylSd,29,204000
145,5,Sawyer,1728,1963,504,1728,2,1963,0,CBlock,HdBoard,0,9100,HdBoard,0,125000
146,6,Edwards,1709,2004,380,970,2,2006,739,PConc,VinylSd,0,2522,VinylSd,40,130000
147,5,BrkSide,875,1931,180,715,1,1993,0,BrkTil,Wd Sdng,0,6120,Wd Sdng,0,105000
148,7,Gilbert,2035,2001,434,884,2,2001,1151,PConc,VinylSd,1,9505,VinylSd,48,222500
149,7,SawyerW,1080,2004,0,1080,1,2005,0,PConc,VinylSd,0,7500,VinylSd,0,141000
150,5,BrkSide,1344,1936,240,896,1,1950,448,BrkTil,MetalSd,0,6240,MetalSd,114,115000
151,5,CollgCr,969,1975,440,969,1,1975,0,CBlock,HdBoard,0,10356,HdBoard,0,122000
153,6,NWAmes,1993,1971,495,825,2,1971,896,CBlock,HdBoard,1,14803,HdBoard,66,190000
155,6,OldTown,1200,1923,312,1200,1,1950,0,BrkTil,Wd Sdng,0,11340,Wd Sdng,0,125000
158,8,Timber,1968,2009,680,774,2,2010,1194,PConc,VinylSd,1,12003,VinylSd,75,269500
159,7,Somerst,1947,2004,678,991,2,2005,956,PConc,VinylSd,1,12552,VinylSd,136,254900
161,6,Veenker,1232,1984,516,1232,2,1984,0,PConc,Plywood,0,11120,Plywood,0,162500
163,7,NridgHt,1541,2005,532,1541,2,2005,0,PConc,VinylSd,1,12182,VinylSd,70,220000
166,5,Edwards,1355,1940,0,644,2,1999,547,BrkTil,Wd Sdng,0,10106,Wd Sdng,0,127500
169,7,Gilbert,1720,2004,440,840,2,2004,880,PConc,VinylSd,1,8244,VinylSd,48,183500
170,8,Timber,1707,1981,511,1686,2,1981,0,CBlock,Plywood,1,16669,Plywood,64,228000
171,5,OldTown,1382,1941,660,720,1,1950,0,CBlock,MetalSd,0,12358,MetalSd,0,128500
173,7,StoneBr,1767,1987,504,1064,2,1987,703,PConc,HdBoard,1,5306,HdBoard,35,239000
175,6,Timber,1651,1986,616,1606,2,1986,0,CBlock,Plywood,1,12416,VinylSd,0,184000
177,6,ClearCr,2060,1988,521,1151,2,1989,896,PConc,Plywood,1,10029,Plywood,228,211000
178,5,Sawyer,1920,1958,451,1052,2,1958,668,CBlock,MetalSd,1,13650,MetalSd,0,172500
180,5,OldTown,968,1923,480,968,1,2006,0,CBlock,Wd Sdng,0,8520,Wd Sdng,0,100000
181,6,Somerst,1525,2000,440,756,2,2000,756,PConc,MetalSd,1,2117,MetalSd,0,177000
187,7,Mitchel,1217,1990,497,1188,2,1991,0,PConc,HdBoard,0,9947,HdBoard,27,173000
188,5,OldTown,1656,1916,180,660,2,1987,704,CBlock,HdBoard,0,10410,HdBoard,0,135000
189,5,SawyerW,1224,1979,528,1086,0,1979,0,CBlock,Plywood,2,7018,Plywood,0,153337
192,7,NAmes,1479,1972,484,725,1,2004,754,CBlock,HdBoard,0,7472,HdBoard,32,184000
193,7,CollgCr,1431,1999,666,1431,2,1999,0,PConc,VinylSd,0,9017,VinylSd,35,192000
194,7,Edwards,1709,2004,380,970,2,2004,739,PConc,VinylSd,0,2522,VinylSd,40,130000
195,5,CollgCr,864,1972,352,864,1,1972,0,CBlock,HdBoard,0,7180,HdBoard,0,127000
196,6,NPkVill,1456,1976,440,855,2,1976,601,CBlock,Brk Cmn,1,2280,Plywood,0,148500
199,6,OldTown,2229,1912,0,755,1,1950,929,CBlock,Wd Sdng,0,5520,Wd Sdng,198,104000
200,8,NridgHt,1713,2004,856,1713,2,2005,0,PConc,VinylSd,1,9591,VinylSd,26,274900
201,4,Edwards,1121,2003,440,1121,2,2004,0,PConc,VinylSd,0,8546,VinylSd,64,140000
202,6,Mitchel,1279,1977,473,1196,2,1977,0,CBlock,Plywood,2,10125,Plywood,83,171500
203,6,OldTown,1310,1924,398,617,2,1950,445,BrkTil,MetalSd,0,7000,MetalSd,0,112000
204,6,CollgCr,848,2004,420,848,1,2004,0,PConc,VinylSd,1,4438,VinylSd,0,149000
205,5,OldTown,1284,1947,240,720,1,1950,564,CBlock,AsbShng,0,3500,AsbShng,35,110000
206,7,Gilbert,1442,1990,500,1424,2,1990,0,PConc,HdBoard,0,11851,HdBoard,34,180500
207,5,Sawyer,1696,1962,349,1140,1,1962,0,CBlock,HdBoard,1,13673,HdBoard,30,143900
208,4,NAmes,1100,1960,312,1100,1,1960,0,PConc,Wd Sdng,1,12493,Wd Sdng,0,141000
210,6,NAmes,1092,1964,504,1092,1,1964,0,CBlock,HdBoard,0,8250,HdBoard,0,145000
211,5,Edwards,864,1925,0,864,1,1950,0,CBlock,Stucco,0,5604,Stucco,0,98000
212,6,Edwards,1212,2009,460,1212,2,2009,0,PConc,VinylSd,0,10420,VinylSd,22,186000
213,7,Somerst,1852,2009,644,900,2,2009,920,PConc,VinylSd,1,8640,VinylSd,108,252678
214,5,CollgCr,990,1995,576,990,1,1995,0,PConc,VinylSd,0,13568,VinylSd,0,156000
215,6,CollgCr,1392,1977,299,689,1,1977,703,CBlock,HdBoard,0,10900,HdBoard,36,161750
216,5,NAmes,1236,1957,447,1070,1,1996,0,CBlock,HdBoard,1,10011,HdBoard,0,134450
217,7,CollgCr,1436,2004,484,1436,2,2004,0,PConc,VinylSd,0,8450,VinylSd,98,210000
218,4,OldTown,1328,1925,210,686,1,1950,518,CBlock,MetalSd,0,9906,MetalSd,172,107000
220,7,Blmngtn,1248,2005,438,1248,2,2006,0,PConc,VinylSd,0,3010,VinylSd,0,167240
221,7,CollgCr,1498,2006,675,1498,2,2006,0,PConc,VinylSd,0,8990,VinylSd,33,204900
222,6,Gilbert,2267,2002,390,1010,2,2002,1257,PConc,VinylSd,1,8068,VinylSd,46,200000
223,6,NWAmes,1552,1975,434,713,2,1975,741,CBlock,VinylSd,1,11475,VinylSd,208,179900
224,4,NAmes,864,1971,576,864,1,1971,0,CBlock,HdBoard,0,10500,HdBoard,0,97000
226,5,BrDale,1302,1971,280,630,2,1971,672,CBlock,HdBoard,0,1680,HdBoard,0,112000
227,7,NoRidge,2520,1995,721,1203,2,1995,1306,PConc,VinylSd,1,9950,VinylSd,114,290000
228,6,BrDale,987,1970,280,483,1,1970,504,CBlock,HdBoard,0,1869,HdBoard,0,106000
229,5,Sawyer,912,1967,336,912,1,1967,0,CBlock,HdBoard,1,8521,HdBoard,0,125000
230,7,Blmngtn,1555,2005,430,1373,2,2006,0,PConc,VinylSd,1,3182,VinylSd,20,192500
231,6,NAmes,1194,1959,312,1194,1,1959,0,CBlock,MetalSd,0,8760,MetalSd,0,148000
233,6,BrDale,987,1972,288,483,1,1972,504,CBlock,HdBoard,1,1680,HdBoard,0,94500
234,5,CollgCr,894,1976,308,894,1,1976,0,CBlock,HdBoard,0,10650,HdBoard,0,128200
236,6,BrDale,987,1971,264,483,1,1971,504,CBlock,HdBoard,0,1680,HdBoard,0,89500
237,7,CollgCr,1414,2004,494,1414,2,2004,0,PConc,VinylSd,0,8773,VinylSd,105,185500
238,7,SawyerW,1744,1993,457,996,2,2003,730,PConc,HdBoard,0,9453,HdBoard,70,194500
240,6,Edwards,1487,1945,220,735,1,1950,689,CBlock,VinylSd,1,8741,VinylSd,140,113000
242,5,OldTown,866,1945,0,686,1,1997,0,CBlock,VinylSd,0,3880,VinylSd,42,110500
243,5,OldTown,1440,1900,352,540,1,1950,551,BrkTil,Wd Sdng,0,5000,Wd Sdng,0,79000
244,6,SawyerW,1217,1980,288,626,1,1980,591,CBlock,Plywood,1,10762,Plywood,28,120000
245,7,SawyerW,2110,1994,463,948,2,2002,888,PConc,VinylSd,2,8880,VinylSd,130,205000
247,6,OldTown,1928,1910,440,1020,2,1950,1020,Stone,AsbShng,0,9142,AsbShng,60,137000
248,6,NAmes,1375,1954,451,1367,1,1954,0,CBlock,BrkFace,1,11310,Wd Sdng,30,140000
249,7,CollgCr,1668,2003,500,840,2,2003,828,PConc,VinylSd,0,11317,VinylSd,68,180000
251,3,BrkSide,1306,1940,0,728,1,1966,0,CBlock,Plywood,0,5350,Wd Sdng,0,76500
252,8,Crawfor,1625,2006,538,1573,2,2007,0,PConc,VinylSd,1,4750,VinylSd,0,235000
253,6,SawyerW,1640,2004,520,798,2,2004,842,PConc,VinylSd,0,8366,VinylSd,45,173000
254,6,NAmes,1302,1964,309,1302,2,1991,0,CBlock,HdBoard,0,9350,HdBoard,0,158000
255,5,NAmes,1314,1957,294,1314,1,1957,0,CBlock,MetalSd,0,8400,MetalSd,0,145000
257,6,Somerst,1728,2003,673,864,2,2003,864,PConc,VinylSd,0,8791,VinylSd,56,207500
258,7,CollgCr,1604,2006,660,1604,2,2006,0,PConc,VinylSd,1,8814,VinylSd,110,220000
259,7,CollgCr,1792,2001,564,963,2,2001,829,PConc,VinylSd,1,12435,VinylSd,96,231500
261,6,NAmes,1382,1962,884,1362,1,1962,0,CBlock,Wd Sdng,1,19296,Wd Sdng,0,176000
262,8,CollgCr,2574,2007,868,1482,2,2007,1092,PConc,CmentBd,1,9588,CemntBd,148,276000
263,6,Sawyer,1212,1977,492,506,1,1995,0,CBlock,Plywood,1,8471,HdBoard,12,151000
264,5,OldTown,1316,1929,484,926,1,2001,0,BrkTil,Wd Sdng,0,5500,Wd Sdng,0,130000
266,6,NWAmes,1422,1981,576,1422,2,1981,0,CBlock,MetalSd,1,12090,MetalSd,0,175500
267,6,Gilbert,1511,1997,413,802,2,1997,709,PConc,VinylSd,1,11207,VinylSd,75,185000
268,5,SWISU,2192,1939,240,720,2,1997,720,PConc,Wd Sdng,1,8400,Wd Sdng,24,179500
269,5,IDOTRR,778,1940,924,740,1,1955,0,CBlock,VinylSd,1,6900,VinylSd,25,120500
270,6,Edwards,1113,1976,504,1143,1,1976,0,CBlock,HdBoard,1,7917,HdBoard,30,148000
271,8,Somerst,1939,2006,1053,1095,2,2006,844,PConc,VinylSd,1,10728,VinylSd,51,266000
273,8,NoRidge,2270,1999,671,1152,2,2007,1106,PConc,VinylSd,1,11764,VinylSd,57,290000
274,6,NAmes,1632,1958,338,1240,2,1988,0,CBlock,Wd Sdng,1,9600,Wd Sdng,0,139000
275,5,Mitchel,816,1982,264,816,1,1982,0,CBlock,ImStucc,0,8314,HdBoard,0,124500
277,7,Mitchel,1560,2003,573,1560,2,2003,0,PConc,VinylSd,0,9196,VinylSd,150,201000
280,7,ClearCr,2022,1977,505,1160,2,1977,866,CBlock,Plywood,1,10005,Plywood,117,192000
281,7,SawyerW,1982,1989,575,807,2,1989,807,CBlock,Plywood,1,11287,Plywood,84,228500
282,6,Somerst,1262,2006,572,1262,2,2006,0,PConc,VinylSd,0,7200,VinylSd,120,185000
283,7,NridgHt,1314,2007,626,1314,2,2008,0,PConc,VinylSd,1,5063,VinylSd,62,207500
284,8,Somerst,1468,2008,898,1468,2,2009,0,PConc,VinylSd,1,9612,VinylSd,150,244600
285,6,SawyerW,1575,1992,529,1575,2,1992,0,PConc,ImStucc,0,8012,Plywood,0,179200
286,7,Somerst,1250,2006,528,625,2,2007,625,PConc,MetalSd,0,4251,MetalSd,54,164700
287,6,NAmes,1734,1962,440,912,1,1981,649,CBlock,Wd Sdng,1,9786,Wd Sdng,0,159000
288,4,NAmes,858,1971,0,858,1,1971,0,CBlock,HdBoard,0,8125,HdBoard,0,88000
289,5,Sawyer,900,1967,280,882,1,1967,0,CBlock,MetalSd,0,9819,MetalSd,0,122000
290,6,BrkSide,1396,1915,384,698,1,2003,698,BrkTil,Wd Sdng,0,8730,Wd Sdng,0,153575
291,8,CollgCr,1919,2006,685,1079,2,2006,840,PConc,VinylSd,1,15611,VinylSd,51,233230
292,5,SWISU,1716,1912,0,780,2,2000,780,PConc,VinylSd,0,5687,VinylSd,184,135900
293,5,Edwards,1716,1949,281,768,1,2008,568,CBlock,Wd Sdng,1,11409,Wd Sdng,0,131000
295,6,NAmes,1644,1953,418,1416,1,1953,0,CBlock,HdBoard,2,9600,HdBoard,0,167000
296,6,Mitchel,1003,1984,588,1003,1,1984,0,CBlock,HdBoard,0,7937,HdBoard,0,142500
297,5,IDOTRR,1558,1950,282,910,1,1950,648,CBlock,Wd Sdng,0,13710,Wd Sdng,0,152000
298,7,Somerst,1950,1997,576,975,2,1998,975,PConc,VinylSd,1,7399,VinylSd,10,239000
299,6,NWAmes,1743,1968,539,702,1,1968,702,CBlock,AsphShn,1,11700,HdBoard,0,175000
300,6,Crawfor,1152,1950,300,1092,1,2004,0,CBlock,HdBoard,1,14000,HdBoard,36,158500
301,5,Crawfor,1336,1953,375,1165,1,1953,0,CBlock,MetalSd,2,15750,MetalSd,0,157000
302,8,CollgCr,2452,1998,683,1028,2,1999,1242,PConc,VinylSd,1,16226,VinylSd,50,267000
303,7,CollgCr,1541,2001,843,1541,2,2002,0,PConc,VinylSd,1,13704,VinylSd,81,205000
304,5,CollgCr,894,1972,552,894,1,1972,0,PConc,VinylSd,0,9800,VinylSd,0,149900
307,7,SawyerW,2243,1990,746,700,2,1991,1121,CBlock,Plywood,1,13474,HdBoard,44,225000
308,6,IDOTRR,1406,1920,0,319,1,1950,371,CBlock,MetalSd,0,7920,MetalSd,144,89500
309,4,Edwards,861,1940,539,861,1,1950,0,CBlock,VinylSd,0,12342,VinylSd,0,82500
311,6,Gilbert,1501,1993,420,697,2,1994,804,PConc,HdBoard,1,7685,HdBoard,63,165600
312,6,NAmes,972,1948,240,972,1,2002,0,CBlock,VinylSd,1,8000,VinylSd,0,132000
313,5,OldTown,1118,1939,410,793,1,1950,325,CBlock,MetalSd,1,7800,MetalSd,0,119900
315,7,OldTown,1641,1925,546,728,1,1990,809,BrkTil,Wd Sdng,1,9600,Wd Sdng,0,178000
316,7,Gilbert,1432,2004,432,716,2,2005,716,PConc,VinylSd,1,7795,VinylSd,51,188500
318,8,Somerst,1959,2006,1025,1088,2,2006,871,PConc,VinylSd,1,9000,VinylSd,46,270000
320,7,NWAmes,1472,1980,588,1372,2,1980,0,CBlock,Plywood,2,14115,Plywood,48,187500
324,3,OldTown,1163,1955,220,1162,1,2005,0,CBlock,VinylSd,0,5820,VinylSd,98,126175
326,5,IDOTRR,803,1941,360,720,1,1950,0,CBlock,MetalSd,0,5000,MetalSd,0,87000
328,6,NAmes,1383,1960,292,1383,1,1960,0,CBlock,Wd Sdng,0,11600,Wd Sdng,45,145250
330,5,IDOTRR,1192,1920,189,596,1,1950,596,PConc,Wd Shng,0,6402,Wd Sdng,0,78000
332,5,NAmes,1056,1958,308,1056,1,1992,0,CBlock,Wd Sdng,0,8176,Wd Sdng,0,139000
334,7,NridgHt,1358,2004,484,1358,2,2004,0,PConc,VinylSd,1,8198,VinylSd,30,207000
